,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.6185011983070577,"[0.6425518925518926, 0.6729049500937325, 0.6478014014317238, 0.5800305411955897, 0.5492172062623499]",0.3989851479645531,"[0.4029281776232996, 0.3942557001614205, 0.43184840728170726, 0.3951686678101772, 0.370724786946161]",0.4251121652927501,"[0.4342978428346386, 0.4181150386301346, 0.47212498107582485, 0.4176655805657689, 0.3833573833573834]",0.19820482787780694,"[0.18912103347323694, 0.1929589733157952, 0.26954014985261476, 0.2144534793019461, 0.12495050344544167]",0.6938069067875882,"[0.6939965342552025, 0.6941581560714014, 0.7089456473767841, 0.6924307680548503, 0.6795034281797023]"
1,imdb,target3,gross,0.19100957996735826,"[0.17897303726083144, 0.18681581452035947, 0.19213798093966533, 0.1856089827852099, 0.2115120843307252]",0.19295883996797852,"[0.18591091529204276, 0.1825786714465856, 0.18668277635848232, 0.1858628371217133, 0.22375899962106857]",0.19020626485757347,"[0.1815516566773727, 0.1821936353586308, 0.1865375773597673, 0.1851441431273364, 0.21560431176476028]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8794333524162246,"[0.8826616735586957, 0.8790978008417463, 0.882549437084691, 0.8772438657441576, 0.8756139848518322]"
2,imdb,target2,content_rating,0.7455173159295833,"[0.7667903979977508, 0.7452137287663603, 0.71086410988757, 0.7481123891530652, 0.7566059538431702]",0.7350614523079079,"[0.7448758643704745, 0.7212955109477586, 0.7043854315021363, 0.7561361902550665, 0.748614264464104]",0.7386428190729604,"[0.7526774193548387, 0.7294555737314119, 0.7072509558899676, 0.7517154048967292, 0.7521147414918541]",0.7261303460699736,"[0.7338347748686649, 0.7065790252259142, 0.6948593580372601, 0.7529173087266787, 0.74246126349135]",0.7350614523079079,"[0.7448758643704745, 0.7212955109477586, 0.7043854315021363, 0.7561361902550665, 0.748614264464104]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.41734660645404587,"[0.4109075091389212, 0.41984428614808816, 0.4284158756610685, 0.41437548595268825, 0.4131898753694632]",0.4187121957348497,"[0.4044774894610243, 0.4357222118048664, 0.42487199217336796, 0.4290552544310194, 0.39943403080397055]",0.4166684591298768,"[0.40682600386145684, 0.42672917784816483, 0.42620959418180543, 0.41907847430667083, 0.404499045451286]",0.3650632653986849,"[0.34933791261950753, 0.3856747178565815, 0.3744570977795726, 0.37717108795653576, 0.3386755107812272]",0.8390713764744511,"[0.8383596700208004, 0.8388257664067766, 0.838901691689136, 0.8421717223869415, 0.8370980318686012]"
5,mushroom,target2,population,0.5602195324953466,"[0.5688274265567205, 0.5560894182895681, 0.5653659538548341, 0.5652630254270404, 0.5455518383485699]",0.555137377558286,"[0.571485117364335, 0.5657683875551197, 0.5686463800593399, 0.5482098709405148, 0.5215771318721204]",0.5530365195361681,"[0.567611147308581, 0.5558166019007539, 0.5644398473080036, 0.5476213476473081, 0.5296936535161936]",0.45145267563960045,"[0.47463607877005065, 0.457417386422746, 0.4745223168408961, 0.4343036855676608, 0.416383910596649]",0.9089975738390574,"[0.909592270336172, 0.9102974597281138, 0.9104450372611942, 0.9076669618534989, 0.9069861400163081]"
6,census,target1,income,0.6822288905540198,"[0.6878835595887973, 0.6824232099601579, 0.6755505002151936, 0.6851489166456759, 0.6801382663602749]",0.6256452661648303,"[0.6290404904177198, 0.6269831427852115, 0.6174799487287266, 0.629198705540169, 0.6255240433523244]",0.6392731406716118,"[0.6431894106965705, 0.6410998384347691, 0.6301223044587224, 0.6433889000829041, 0.638565249685093]",0.5568262665693593,"[0.5614736910417183, 0.5588033963590304, 0.5428965595402744, 0.5625335025441525, 0.5584241833616213]",0.6256452661648303,"[0.6290404904177198, 0.6269831427852115, 0.6174799487287266, 0.629198705540169, 0.6255240433523244]"
7,census,target3,workclass,0.19102577008502514,"[0.17799702504753542, 0.198613843009335, 0.20196586529870436, 0.18437243712266302, 0.192179679946888]",0.18186416547481127,"[0.1837504225701763, 0.18096168536312818, 0.18481499272510118, 0.18054630051429824, 0.1792474262013525]",0.17713867905160297,"[0.17799053898802672, 0.17621517681199408, 0.18175790238234374, 0.17570574890961102, 0.1740240281660393]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8790885192579914,"[0.8805082090484239, 0.877758384480175, 0.8805166656389832, 0.8784074839652447, 0.8782518531571307]"
8,census,target2,marital-status,0.1756419889077887,"[0.1683756267271812, 0.17181710693741156, 0.1850848135797917, 0.1817423903158035, 0.17119000697875555]",0.14781375307967137,"[0.1467938452120782, 0.14738914935137964, 0.148132505683928, 0.14984099750180854, 0.1469122676491624]",0.13815138111571587,"[0.1362745767472876, 0.13756628596268475, 0.13928564810506344, 0.141461856512412, 0.13616853825113157]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8588053101033101,"[0.8589038535095961, 0.8585399010713439, 0.8591005669952626, 0.8586018706816553, 0.8588803582586924]"
9,bank,target1,y,0.7521595070105748,"[0.7566375832629703, 0.7356951871657753, 0.7513590649633053, 0.7893163357400722, 0.7277893639207508]",0.7169605153841312,"[0.7488250811073043, 0.7116090933096478, 0.6881868131868132, 0.7264209248427326, 0.709760664474158]",0.7317207660407322,"[0.7526477832512315, 0.7226334587060275, 0.7131585054537015, 0.7519803905830343, 0.7181836922096663]",0.6770398997186122,"[0.7198030920419697, 0.6730416722176047, 0.6323589960440983, 0.6882750519815628, 0.6717206863078254]",0.7169605153841312,"[0.7488250811073043, 0.7116090933096478, 0.6881868131868132, 0.7264209248427326, 0.709760664474158]"
